Windspeeds, Voltages, Currents, Resistances, Powers, RPMs, Pitches, Load settings
8.000000000000000000e+00,8.944999694824218750e+00,-5.350000262260437012e-01,-1.671962477819553072e+01,-4.785575071322909935e+00,7.875000000000000000e+01,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.947500228881835938e+00,-5.350000262260437012e-01,-1.672429867340121135e+01,-4.786912857109314245e+00,8.125000000000000000e+01,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.948749542236328125e+00,-5.362499952316284180e-01,-1.668764498239481497e+01,-4.798766899353267945e+00,7.000000000000000000e+01,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.949999809265136719e+00,-5.362499952316284180e-01,-1.668997648270237022e+01,-4.799437355041504816e+00,7.625000000000000000e+01,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.949999809265136719e+00,-5.362499952316284180e-01,-1.668997648270237022e+01,-4.799437355041504816e+00,7.875000000000000000e+01,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.949999809265136719e+00,-5.362499952316284180e-01,-1.668997648270237022e+01,-4.799437355041504816e+00,8.125000000000000000e+01,1.250000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.944999694824218750e+00,-5.350000262260437012e-01,-1.671962477819553072e+01,-4.785575071322909935e+00,1.075000000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.938750267028808594e+00,-5.362499952316284180e-01,-1.666899831517535802e+01,-4.793404788070915856e+00,4.125000000000000000e+01,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.949999809265136719e+00,-5.375000238418579102e-01,-1.665116169724745276e+01,-4.810625110864634735e+00,4.750000000000000000e+01,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.946249961853027344e+00,-5.337499976158142090e-01,-1.676112412517969474e+01,-4.775060895809531303e+00,3.250000000000000000e+01,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,8.946249961853027344e+00,-5.350000262260437012e-01,-1.672196172579836926e+01,-4.786243964216112090e+00,3.750000000000000000e+01,1.300000000000000000e+03,0.000000000000000000e+00
