Windspeeds, Voltages, Currents, Resistances, Powers, RPMs, Pitches, Load settings
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.451250000000000000e+03,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-1.249999972060322762e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.862500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.775000000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-2.499999944120645523e-03,-5.000000000000000000e-01,-3.124999860301615369e-06,4.675000000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.162500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.050000000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.112500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.012500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.225000000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.812500000000000000e+02,1.300000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-4.999999888241291046e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.292500000000000000e+03,1.350000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.962500000000000000e+02,1.350000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.950000000000000000e+02,1.350000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,1.249999972060322762e-03,-4.999999888241291046e-03,-2.500000000000000000e-01,-6.249999720603230738e-06,4.800000000000000000e+02,1.350000000000000000e+03,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,5.000000000000000000e+02,1.350000000000000000e+03,0.000000000000000000e+00
