Windspeed (m/s), Voltage (V), Current (A), Resistance (ohm), Power (W), RPM, Pitch, Load Setting
1.350000000000000000e+01,0.000000000000000000e+00,-4.999999888241291046e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,3.999999910593032837e-02,-2.499999944120645523e-03,-1.600000000000000000e+01,-9.999999552965169181e-05,0.000000000000000000e+00,1.300000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.625000178813934326e-02,-3.749999916180968285e-03,-2.033333426465592808e+01,-2.859375003143212191e-04,0.000000000000000000e+00,1.300000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,9.049999713897705078e-01,-2.499999944120645523e-03,-3.619999966472386745e+02,-2.262499877903612067e-03,0.000000000000000000e+00,1.300000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,4.000000000000000000e+01,1.320000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-1.249999972060322762e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.099999994039535522e-01,-2.499999944120645523e-03,-4.400000074505807390e+01,-2.749999923631549215e-04,0.000000000000000000e+00,1.320000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.374999672174453735e-02,-3.749999916180968285e-03,-1.966666623204945452e+01,-2.765624815248887008e-04,0.000000000000000000e+00,1.320000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.057500004768371582e+00,-3.749999916180968285e-03,-2.820000075747570918e+02,-3.965624929242766994e-03,0.000000000000000000e+00,1.320000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,3.212499916553497314e-01,-1.249999972060322762e-03,-2.569999990686774254e+02,-4.015624805935660846e-04,0.000000000000000000e+00,1.320000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-4.999999888241291046e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.320000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.999999955296516418e-02,-3.749999916180968285e-03,-5.333333333333333037e+00,-7.499999664723876885e-05,5.750000000000000000e+01,1.350000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.750000059604644775e-02,-3.749999916180968285e-03,-2.066666728754839610e+01,-2.906249957391991712e-04,0.000000000000000000e+00,1.350000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,9.674999713897705078e-01,-6.250000093132257462e-03,-1.547999931156636251e+02,-6.046874911291522103e-03,0.000000000000000000e+00,1.350000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.587500214576721191e-01,-3.749999916180968285e-03,-2.023333435778818910e+02,-2.845312516868578334e-03,0.000000000000000000e+00,1.350000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.350000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-4.999999888241291046e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.350000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-4.999999888241291046e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.350000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.350000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.012500002980232239e-01,-3.749999916180968285e-03,-2.700000068296990463e+01,-3.796874926309101034e-04,0.000000000000000000e+00,1.350000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.500000298023223877e-02,-2.499999944120645523e-03,-3.000000186264519186e+01,-1.875000032596288446e-04,0.000000000000000000e+00,1.350000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,6.125000000000000000e+01,1.400000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,1.750000000000000000e+01,1.400000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,1.375000000000000000e+01,1.400000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,2.250000000000000000e+01,1.400000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.099999994039535522e-01,-2.499999944120645523e-03,-4.400000074505807390e+01,-2.749999923631549215e-04,3.875000000000000000e+01,1.400000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.249999791383743286e-02,-4.999999888241291046e-03,-1.449999990686774076e+01,-3.624999814666809983e-04,2.625000000000000000e+01,1.400000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.056249976158142090e+00,-3.749999916180968285e-03,-2.816666666045784950e+02,-3.960937322059182586e-03,3.875000000000000000e+01,1.400000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.312499940395355225e-01,-3.749999916180968285e-03,-3.499999919285374972e+01,-4.921874666470107962e-04,3.500000000000000000e+01,1.400000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,2.750000000000000000e+01,1.400000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,3.500000000000000000e+01,1.400000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.099999994039535522e-01,-2.499999944120645523e-03,-4.400000074505807390e+01,-2.749999923631549215e-04,8.625000000000000000e+01,1.420000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.625000178813934326e-02,-3.749999916180968285e-03,-2.033333426465592808e+01,-2.859375003143212191e-04,0.000000000000000000e+00,1.420000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.625000178813934326e-02,-2.499999944120645523e-03,-3.050000139698389390e+01,-1.906250002095474794e-04,0.000000000000000000e+00,1.420000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,2.237499952316284180e-01,-2.499999944120645523e-03,-8.950000009313225746e+01,-5.593749755760657472e-04,0.000000000000000000e+00,1.420000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.420000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.750000059604644775e-02,-4.999999888241291046e-03,-1.550000046566129797e+01,-3.874999943189322282e-04,0.000000000000000000e+00,1.420000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.262499928474426270e-01,-2.499999944120645523e-03,-2.905000036321580978e+02,-1.815624941536225778e-03,0.000000000000000000e+00,1.420000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-4.999999888241291046e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-3.749999916180968285e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.874999940395355225e-02,-2.499999944120645523e-03,-3.150000046566129797e+01,-1.968749941093847489e-04,0.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,8.399999737739562988e-01,-2.499999944120645523e-03,-3.359999970197677044e+02,-2.099999887496234452e-03,0.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.875000238418579102e-01,-2.499999944120645523e-03,-3.150000165775422261e+02,-1.968750015599651793e-03,0.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,7.937499880790710449e-01,-2.499999944120645523e-03,-3.175000023283064934e+02,-1.984374925843440662e-03,0.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-4.999999888241291046e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.450000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,2.999999932944774628e-02,-4.999999888241291046e-03,-6.000000000000000000e+00,-1.499999932944775377e-04,0.000000000000000000e+00,1.480000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.058750033378601074e+00,-3.749999916180968285e-03,-2.823333485449357454e+02,-3.970312536426351402e-03,0.000000000000000000e+00,1.480000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.068750023841857910e+00,-3.749999916180968285e-03,-2.850000127280754896e+02,-4.007812499825375019e-03,0.000000000000000000e+00,1.480000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,5.462499856948852539e-01,-3.749999916180968285e-03,-1.456666661078731124e+02,-2.048437400569674827e-03,0.000000000000000000e+00,1.480000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-4.999999888241291046e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,0.000000000000000000e+00,-2.499999944120645523e-03,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,1.480000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,6.125000119209289551e-02,-3.749999916180968285e-03,-1.633333401630323678e+01,-2.296874993364325657e-04,0.000000000000000000e+00,1.480000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,1.012500047683715820e+00,-2.499999944120645523e-03,-4.050000281259423787e+02,-2.531250062631440478e-03,0.000000000000000000e+00,1.480000000000000000e+03,0.000000000000000000e+00
1.350000000000000000e+01,-1.000000000000000000e+00,-1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00
